TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,30,756,CC,false,2,A,0,0,,0,
4,54,756,CC,false,4,A,0,0,,0,
4,10,10,PCT,false,5,A,0,0,,0,
5,54,756,CC,false,4,A,0,0,,0,
7,82,756,CC,false,7,A,0,0,,0,
9,58,756,CC,false,9,A,0,0,,0,
9,10,10,PCT,false,10,A,0,0,,0,
10,58,756,CC,false,9,A,0,0,,0,
12,90,756,CC,false,13,A,0,0,,0,
13,90,756,CC,false,13,A,0,0,,0,
15,94,756,CC,false,15,A,0,0,,0,
17,62,756,CC,false,18,A,0,0,,0,
18,62,756,CC,false,18,A,0,0,,0,
20,58,756,CC,false,20,A,0,0,,0,
22,58,756,CC,false,22,A,0,0,,0,
22,10,10,PCT,false,23,A,0,0,,0,
23,58,756,CC,false,22,A,0,0,,0,
25,78,756,CC,false,26,A,0,0,,0,
26,78,756,CC,false,26,A,0,0,,0,
28,58,756,CC,false,20,A,0,0,,0,
30,82,756,CC,false,7,A,0,0,,0,
32,58,756,CC,false,9,A,0,0,,0,
34,74,756,CC,false,35,A,0,0,,0,
35,74,756,CC,false,35,A,0,0,,0,
37,66,756,CC,false,38,A,0,0,,0,
38,66,756,CC,false,38,A,0,0,,0,
40,94,756,CC,false,15,A,0,0,,0,
43,66,756,CC,false,44,A,0,0,,0,
44,66,756,CC,false,44,A,0,0,,0,
46,58,756,CC,false,22,A,0,0,,0,
49,58,756,CC,false,50,A,0,0,,0,
50,58,756,CC,false,50,A,0,0,,0,
53,54,756,CC,false,4,A,0,0,,0,
